name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Le Havre,2024-02-18,11.2,9.9,10.4,11.2,6.6,9.6,8.8,90.1,13.4,87.1,25,rain,0,0,42.5,27.4,222.6,1026.6,87,21.7,7.3,0.6,1,10,2024-02-18T08:04:44,2024-02-18T18:23:13,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Le Havre,2024-02-19,9.8,9.1,9.3,7.3,5.3,6,8,91.3,0.4,25.8,8.33,rain,0,0,47.5,32.4,280.5,1029.7,75.4,22.3,34.6,3,2,10,2024-02-19T08:02:54,2024-02-19T18:24:53,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Le Havre,2024-02-20,9.3,7.3,8.7,7.2,3.9,5.6,6.3,85.2,0.1,48.4,4.17,rain,0,,51.8,34,206.1,1025,100,24,26.3,2.4,2,10,2024-02-20T08:01:02,2024-02-20T18:26:34,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Le Havre,2024-02-21,9.4,6.8,8.6,6.9,3.4,6,5.5,81.1,6.5,64.5,25,rain,0,,54,34.9,213,1010.3,100,19.4,42,3.6,3,10,2024-02-21T07:59:09,2024-02-21T18:28:14,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Le Havre,2024-02-22,7.7,6.4,7,2.6,0.1,1.6,4.6,84.8,20.8,80.6,33.33,rain,0,,88.2,71.3,258.7,989.8,100,14.2,5.9,0.6,0,10,2024-02-22T07:57:15,2024-02-22T18:29:54,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Le Havre,2024-02-23,8.6,5.7,7.2,3,-0.1,1.6,3.8,79.2,10.4,80.6,33.33,rain,0,,86,65.8,233.7,992.5,95.4,17.4,8.1,0.6,0,10,2024-02-23T07:55:20,2024-02-23T18:31:34,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Le Havre,2024-02-24,8,4.6,6.4,4.1,-0.7,1.6,2.6,77.2,3.6,67.7,20.83,rain,0,,55.2,46.1,229.2,990.1,40.2,19.2,49.9,4.7,3,10,2024-02-24T07:53:24,2024-02-24T18:33:13,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Le Havre,2024-02-25,8.4,6.4,7.6,4.5,1.1,3.2,4.4,80.5,5.6,74.2,29.17,rain,0,,50.4,40,258.2,995.1,37.5,18.9,57.4,5.3,4,10,2024-02-25T07:51:27,2024-02-25T18:34:52,0.53,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,
Le Havre,2024-02-26,7.8,7.2,7.5,7.2,3,4.6,2.8,72.2,0.5,67.7,8.33,rain,0,,40.3,37.3,317.3,1000,44.9,24.1,64.4,5.9,4,10,2024-02-26T07:49:29,2024-02-26T18:36:31,0.57,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,
Le Havre,2024-02-27,8.2,6.8,7.4,7.2,2.6,4.1,2.3,70.1,1.2,58.1,20.83,rain,0,,35.3,30.6,318.9,1007.8,10.5,22.4,66.4,5.9,4,10,2024-02-27T07:47:30,2024-02-27T18:38:10,0.6,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,
Le Havre,2024-02-28,8,6.9,7.6,5.6,2.5,4,2.7,71,3,45.2,25,rain,0,,37.1,29.6,299.3,1013.4,25.1,22.5,66.6,5.9,4,10,2024-02-28T07:45:31,2024-02-28T18:39:48,0.63,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,
Grenoble,2024-02-14,14.8,2.8,8,14.8,-0.6,7,2.6,71.5,0,0,0,,0,0,8.6,16,92.6,1024.5,58.5,12.9,119.1,10.2,5,10,2024-02-14T07:40:49,2024-02-14T18:02:25,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F1608,LFLS,LFLB,LFLL"
Grenoble,2024-02-15,14.5,2.9,8.1,14.5,2.9,8.1,3.5,73.7,0,0,0,,0,0,11.9,3.6,259.4,1021,81.6,24.1,105.8,9,5,10,2024-02-15T07:39:19,2024-02-15T18:03:51,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Grenoble,2024-02-16,15.5,6.5,10.6,15.5,6.5,10.6,6.1,74.6,0,25.8,0,,0,0,9.7,4,308.8,1020.5,96.4,24.1,28,2.7,1,10,2024-02-16T07:37:47,2024-02-16T18:05:17,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
Grenoble,2024-02-17,11.6,6.7,9.1,11.6,6.7,9.1,6.9,86.2,0,29,0,,0,0,19.4,9.7,343.5,1028.7,99,15.6,58.9,5.1,4,10,2024-02-17T07:36:14,2024-02-17T18:06:43,0.26,Overcast,Cloudy skies throughout the day.,cloudy,
Grenoble,2024-02-18,13.6,6.9,9.8,13.6,6.9,9.8,6.7,81.6,0.1,71,4.17,rain,0,0,9.7,4.7,270.9,1030.4,92,16.9,94.3,8.3,4,10,2024-02-18T07:34:40,2024-02-18T18:08:09,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Grenoble,2024-02-19,8.6,4.1,6.3,8.1,2.7,4.9,3.7,83.9,2.7,74.2,16.67,rain,0,0,16.6,12.2,349.4,1030.2,83.3,22.7,80,7.1,3,10,2024-02-19T07:33:05,2024-02-19T18:09:34,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Grenoble,2024-02-20,5.7,1.3,3.4,4.3,0.8,2.2,1.7,89.4,2.5,45.2,20.83,rain,0,0,14.8,7.9,339.1,1026.5,86.7,18,52.3,4.5,3,10,2024-02-20T07:31:28,2024-02-20T18:10:59,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
Grenoble,2024-02-21,9.3,1.4,4.8,9.3,1.4,4.5,-0.6,69.9,0,51.6,0,rain,0,0,16.6,8.6,156.1,1018.1,99.3,24,108.9,9.6,4,10,2024-02-21T07:29:51,2024-02-21T18:12:24,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Grenoble,2024-02-22,9.7,2.3,5.1,7.4,-0.2,2.6,2.3,82.5,8.4,71,33.33,"rain,snow",0,0,26.6,15.8,190.4,1007.3,84.2,19.1,78.3,6.9,3,10,2024-02-22T07:28:12,2024-02-22T18:13:48,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,
Grenoble,2024-02-23,8.2,0.7,3.4,6.3,-1.5,1.3,-0.4,77.5,3.1,77.4,16.67,"rain,snow",0.7,0.3,25.6,10.8,194.1,1011.1,100,17.3,112.4,10.1,4,10,2024-02-23T07:26:33,2024-02-23T18:15:12,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,
Grenoble,2024-02-24,5.4,-1,1.8,3.3,-3.5,-0.7,-0.2,87.3,21.9,58.1,16.67,"rain,snow",8.3,2.4,20.2,11.5,208.4,997.8,100,13,44.4,4.1,2,10,2024-02-24T07:24:52,2024-02-24T18:16:36,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,snow,
Grenoble,2024-02-25,0.3,-4.5,-1.7,-2.3,-6.8,-4.2,-2.1,97.5,11.1,74.2,33.33,"rain,snow",5,11.3,19.8,10.4,350.7,999,99.5,7,22.3,1.8,1,10,2024-02-25T07:23:11,2024-02-25T18:18:00,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Grenoble,2024-02-26,0.8,-5.1,-0.9,0.8,-7.7,-1.2,-1.2,98,8.9,74.2,29.17,"rain,snow",3.7,13.1,7.2,5.8,325.3,1003.9,91.4,6.1,62.9,5.4,2,10,2024-02-26T07:21:28,2024-02-26T18:19:23,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Grenoble,2024-02-27,1.2,-7.8,-2.6,0.3,-10.5,-4.1,-3.3,94.5,1.6,74.2,20.83,"rain,snow",0.6,9.4,9.7,6.8,358.4,1008.4,90,14.3,107.5,9.5,5,10,2024-02-27T07:19:45,2024-02-27T18:20:46,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,
Grenoble,2024-02-28,1.2,-5.1,-1.2,-1.2,-5.2,-3.4,-2.3,92.7,2.4,54.8,20.83,"rain,snow",1.1,7.8,16.6,10.8,8.7,1014.5,92.2,18.4,114.6,9.9,5,10,2024-02-28T07:18:01,2024-02-28T18:22:09,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Annecy,2024-02-14,13,3,7.1,13,1.8,6.7,1.9,71.8,0,0,0,,0,0,22.7,9,146.9,1024.8,55.2,12.9,87.3,7.7,4,10,2024-02-14T07:40:33,2024-02-14T17:59:32,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,LFLB,LSGG"
Annecy,2024-02-15,12.2,5.2,8.1,12.2,3.2,7.2,2.3,66.8,0,0,0,,0,0,30.6,9.4,189.6,1020.8,90.4,24.1,100.9,8.7,4,10,2024-02-15T07:39:00,2024-02-15T18:01:00,0.19,Overcast,Cloudy skies throughout the day.,cloudy,
Annecy,2024-02-16,12.5,5.9,8.8,12.5,4.2,8.1,3.9,71.8,0,22.6,0,,0,0,34.2,8.3,183.5,1021,96.9,24.1,89,7.5,4,10,2024-02-16T07:37:26,2024-02-16T18:02:29,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
Annecy,2024-02-17,9.4,6.8,7.9,9.4,5.5,7.5,5.9,87.6,0,25.8,0,rain,0,0,23.4,7.2,188.4,1029,97.4,19.8,57.5,4.8,3,10,2024-02-17T07:35:51,2024-02-17T18:03:57,0.26,Overcast,Cloudy skies throughout the day.,cloudy,
Annecy,2024-02-18,9.5,6.1,7.5,9.1,6.1,7.4,6.3,92.3,1.1,87.1,4.17,rain,0,0,19.8,6.1,279.1,1030.8,99.6,22.4,87.6,7.5,3,10,2024-02-18T07:34:14,2024-02-18T18:05:25,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Annecy,2024-02-19,7.6,3.4,5.5,6.7,2.3,5,3.4,87.1,6.9,87.1,33.33,rain,0.1,0,23,7.6,260.6,1030.5,92.1,11.8,80.1,6.9,3,10,2024-02-19T07:32:37,2024-02-19T18:06:52,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Annecy,2024-02-20,6,1.7,3.6,5.6,0.1,3.2,1.1,84.3,1.7,35.5,25,rain,0.2,0.1,9.7,5.8,36.6,1026.5,85.2,18.6,68.1,6,3,10,2024-02-20T07:30:58,2024-02-20T18:08:20,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Annecy,2024-02-21,8,1.7,4.5,8,1.7,4,-0.2,72.3,0,51.6,0,rain,0,0.1,11.3,8.4,183.7,1017.5,100,24,102.8,8.9,4,10,2024-02-21T07:29:18,2024-02-21T18:09:47,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Annecy,2024-02-22,8.4,0.8,3.8,5.3,-2.9,0.6,2.1,88.6,24.8,74.2,33.33,"rain,snow",1.7,0.4,49.7,22.7,196.6,1005.7,98.9,8.5,47.4,3.9,2,10,2024-02-22T07:27:37,2024-02-22T18:11:14,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Annecy,2024-02-23,5.6,-0.1,2.1,3.4,-4.6,-1.2,-0.4,84.6,5.7,77.4,16.67,"rain,snow",2.4,3.1,43.6,16.6,189.9,1010.4,87,15.2,107.9,9.5,5,10,2024-02-23T07:25:55,2024-02-23T18:12:40,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,
Annecy,2024-02-24,3.5,-1.6,0.6,2.3,-3.9,-1.7,-1.3,88,13,58.1,16.67,"rain,snow",6.6,4.3,11.9,10.4,184.7,997.7,100,12.6,36.5,3.5,1,10,2024-02-24T07:24:12,2024-02-24T18:14:06,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,snow,
Annecy,2024-02-25,1.5,-3.3,-1.1,-0.5,-6.4,-3.5,-2,93.8,5.8,67.7,29.17,"rain,snow",2,9.9,16.6,10.1,0.9,998.9,100,8.4,76.8,6.6,3,10,2024-02-25T07:22:29,2024-02-25T18:15:32,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Annecy,2024-02-26,0.9,-5.6,-1.7,-1.5,-9.7,-3.8,-2.2,96.8,10,67.7,29.17,"rain,snow",6.1,12.3,12.6,9.1,191.4,1003.6,88.5,6.5,57.6,5.1,2,10,2024-02-26T07:20:44,2024-02-26T18:16:58,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,
Annecy,2024-02-27,1.7,-7.4,-2.6,1.7,-11.7,-4.3,-3.9,90.3,1,64.5,16.67,"rain,snow",0.3,10.2,6.5,9.4,168.3,1008.2,41.7,18.7,149.3,13.1,5,10,2024-02-27T07:18:58,2024-02-27T18:18:24,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,
Annecy,2024-02-28,1.8,-5.3,-1.8,0.1,-8.5,-3.6,-3.4,89.4,0.7,51.6,12.5,"rain,snow",0.5,7.9,9.4,7.6,78.4,1015.2,71.9,18.5,146.1,12.8,6,10,2024-02-28T07:17:12,2024-02-28T18:19:49,0.63,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain or snow.,snow,
Colmar,2024-02-14,14.2,4.1,9.3,14.2,0.6,8.2,5.4,77.1,0,0,0,rain,0,0,25.2,17.8,191.8,1022.7,85.2,14.5,83.9,7.3,5,10,2024-02-14T07:39:54,2024-02-14T17:50:20,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E2175,00757,EDTL,01224,LFST,01443,LFSB,00259,02812,01346"
Colmar,2024-02-15,14.5,5,9.3,14.5,4.3,9.1,5.9,80.2,0.1,0,4.17,rain,0,0,18.4,9.4,219.1,1019.9,89.9,24.1,78.4,6.8,3,10,2024-02-15T07:38:14,2024-02-15T17:51:56,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Colmar,2024-02-16,17.8,8.5,12.1,17.8,7.1,11.6,7.7,75,0.1,41.9,4.17,rain,0,0,24.1,13.3,206,1018.7,92.3,24.1,76.5,6.5,4,10,2024-02-16T07:36:32,2024-02-16T17:53:32,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
Colmar,2024-02-17,12,8.6,10.3,12,7.4,10,8.1,86.5,0.4,41.9,12.5,rain,0,0,25.9,13.3,36.5,1029.3,98.2,23.9,43.1,3.7,2,10,2024-02-17T07:34:49,2024-02-17T17:55:08,0.26,Overcast,Cloudy skies throughout the day.,cloudy,
Colmar,2024-02-18,12.2,5,8.5,12.2,5,7.9,5.6,83.2,1.2,83.9,8.33,rain,0,0,24.1,13.3,203.4,1029.3,87.4,22.8,78.9,6.9,4,10,2024-02-18T07:33:05,2024-02-18T17:56:43,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Colmar,2024-02-19,8.6,6,7.4,7,4.7,6,4.9,84.8,4.7,83.9,37.5,rain,0,0,26.3,11.8,221,1027.4,91,19.8,50.1,4.5,2,10,2024-02-19T07:31:20,2024-02-19T17:58:19,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Colmar,2024-02-20,7.5,4.6,5.7,6.6,3.5,5.2,3.8,87.5,2.9,48.4,29.17,rain,0,0,12.1,6.5,198.4,1026.2,97.2,20.6,39.8,3.3,2,10,2024-02-20T07:29:34,2024-02-20T17:59:54,0.36,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Colmar,2024-02-21,9.9,3.8,6,9.4,2.6,5.2,1.9,75.8,0,58.1,0,rain,0,0,13.7,6.8,218.9,1016.4,100,24.1,89,7.8,3,10,2024-02-21T07:27:46,2024-02-21T18:01:29,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Colmar,2024-02-22,10,2.8,5.8,6.3,-2.5,2,3,82.9,28.7,61.3,33.33,rain,0.1,0,77,36.7,224.6,999.3,78.7,15.1,72.6,6.3,3,10,2024-02-22T07:25:57,2024-02-22T18:03:03,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,
Colmar,2024-02-23,6.5,1.2,3.9,2.9,-3.7,-0.7,0.5,79.4,10.6,64.5,25,"rain,snow",3.1,1.8,61.6,25.2,221.5,1004.1,83,15.9,110.3,9.6,4,10,2024-02-23T07:24:08,2024-02-23T18:04:37,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,
Colmar,2024-02-24,6.1,2.1,4,3.7,1.5,2.6,1.8,86,10.6,51.6,29.17,rain,0.2,1.2,56.8,17.8,220.5,995.7,100,19.7,31.9,2.7,1,10,2024-02-24T07:22:17,2024-02-24T18:06:12,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,snow,
Colmar,2024-02-25,5.3,0.8,2.7,3.9,-1.3,1.7,0,83.1,0.2,64.5,8.33,"rain,snow",0.1,1,21.2,8.3,265.3,997,99.9,22,70.3,6.3,3,10,2024-02-25T07:20:26,2024-02-25T18:07:45,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,
Colmar,2024-02-26,3.7,0.9,2.4,2,-0.9,0.5,1.1,91.7,5.9,67.7,33.33,"rain,snow",0.8,1.4,33.1,9.4,224.2,999,93.1,11.2,42.8,3.9,2,10,2024-02-26T07:18:33,2024-02-26T18:09:19,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Colmar,2024-02-27,4.4,-0.4,2.2,1.1,-3.3,-0.6,-0.8,81.2,1.5,45.2,16.67,"rain,snow",0.4,1.8,42.8,15.5,257.1,1004.5,85.8,20,113.8,9.6,4,10,2024-02-27T07:16:40,2024-02-27T18:10:52,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,
Colmar,2024-02-28,5,-0.5,1.8,2.5,-3.3,-0.9,-1.8,77.6,0.2,45.2,8.33,"rain,snow",0,1.4,39.7,13.8,249.2,1012.7,67.8,20.4,123.3,10.7,5,10,2024-02-28T07:14:46,2024-02-28T18:12:25,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,
